customer_id,first_name,last_name,email,country,signup_date
1,Muhammad,Sharma,muhammad.sharma.1@inbox.com,Philippines,2023-01-16
2,Pari,Khan,pari.khan.2@example.com,Philippines,2024-11-17
3,Charlotte,Reddy,charlotte.reddy.3@webmail.net,Denmark,2022-02-19
4,Vivaan,Reddy,vivaan.reddy.4@mail.com,Australia,2024-02-25
5,Benjamin,Sharma,benjamin.sharma.5@mail.com,Norway,2025-01-17
6,Charlotte,Williams,charlotte.williams.6@webmail.net,Brazil,2024-07-04
7,Zara,Wang,zara.wang.7@mail.com,USA,2024-12-20
8,Isabella,Brown,isabella.brown.8@mail.com,Japan,2022-12-01
9,Noah,Gupta,noah.gupta.9@webmail.net,Canada,2022-05-31
10,Olivia,Zhang,olivia.zhang.10@company.org,UAE,2023-02-15
11,Aditya,Nguyen,aditya.nguyen.11@company.org,Italy,2022-07-13
12,Ava,Reddy,ava.reddy.12@inbox.com,Norway,2025-07-12
13,Daniel,Kumar,daniel.kumar.13@company.org,UAE,2022-10-26
14,Arjun,Patel,arjun.patel.14@mail.com,Vietnam,2025-04-15
15,Mira,Reddy,mira.reddy.15@example.com,Brazil,2023-08-14
16,Zara,Jones,zara.jones.16@inbox.com,South Africa,2022-09-10
17,Emma,Smith,emma.smith.17@inbox.com,Australia,2024-12-26
18,Arjun,Lopez,arjun.lopez.18@mail.com,South Africa,2024-04-09
19,Anika,Singh,anika.singh.19@webmail.net,Italy,2023-02-24
20,Henry,Iyer,henry.iyer.20@inbox.com,Vietnam,2025-08-02
21,Vihaan,Iyer,vihaan.iyer.21@inbox.com,India,2023-09-16
22,Zara,Reddy,zara.reddy.22@company.org,Australia,2025-09-23
23,Liam,Mehta,liam.mehta.23@webmail.net,South Africa,2023-09-07
24,Mia,Khan,mia.khan.24@mail.com,Japan,2023-01-19
25,Henry,Davis,henry.davis.25@company.org,Japan,2023-10-28
26,James,Johnson,james.johnson.26@mail.com,UAE,2022-08-03
27,Harper,Garcia,harper.garcia.27@example.com,Canada,2025-08-30
28,Muhammad,Khan,muhammad.khan.28@mail.com,South Africa,2025-05-15
29,Isabella,Lopez,isabella.lopez.29@webmail.net,Canada,2023-08-16
30,Benjamin,Jones,benjamin.jones.30@inbox.com,Sweden,2024-05-09
31,Aarav,Park,aarav.park.31@example.com,Philippines,2024-11-25
32,Charlotte,Chen,charlotte.chen.32@inbox.com,Japan,2022-06-23
33,Mira,Williams,mira.williams.33@webmail.net,France,2022-01-06
34,Sara,Miller,sara.miller.34@company.org,France,2022-06-15
35,Aisha,Liu,aisha.liu.35@company.org,South Africa,2024-08-04
36,Kiara,Khan,kiara.khan.36@mail.com,UAE,2024-04-17
37,Evelyn,Bose,evelyn.bose.37@company.org,USA,2023-05-19
38,Amelia,Sharma,amelia.sharma.38@inbox.com,United Kingdom,2025-09-27
39,Aisha,Iyer,aisha.iyer.39@mail.com,India,2025-09-25
40,Elijah,Reddy,elijah.reddy.40@webmail.net,Canada,2025-06-21
41,Arjun,Chen,arjun.chen.41@mail.com,Norway,2022-07-19
42,Lucas,Davis,lucas.davis.42@inbox.com,France,2024-03-30
43,Benjamin,Williams,benjamin.williams.43@company.org,Australia,2025-03-19
44,Kiara,Lee,kiara.lee.44@webmail.net,South Korea,2024-11-09
45,Emma,Jones,emma.jones.45@webmail.net,Sweden,2022-07-07
46,Anika,Iyer,anika.iyer.46@inbox.com,Canada,2022-02-02
47,James,Davis,james.davis.47@company.org,Brazil,2022-12-09
48,Aarav,Reddy,aarav.reddy.48@example.com,Indonesia,2022-12-22
49,Arjun,Kumar,arjun.kumar.49@inbox.com,India,2022-04-21
50,Harper,Iyer,harper.iyer.50@webmail.net,Japan,2022-11-29
51,Charlotte,Khan,charlotte.khan.51@company.org,Philippines,2024-06-14
52,Lucas,Iyer,lucas.iyer.52@webmail.net,Netherlands,2022-10-23
53,Reyansh,Gupta,reyansh.gupta.53@webmail.net,Vietnam,2023-07-05
54,Isabella,Williams,isabella.williams.54@example.com,Italy,2024-11-12
55,Reyansh,Patel,reyansh.patel.55@inbox.com,Singapore,2025-05-28
56,Reyansh,Iyer,reyansh.iyer.56@mail.com,Australia,2024-04-13
57,Ethan,Khan,ethan.khan.57@mail.com,Spain,2023-03-09
58,Mia,Iyer,mia.iyer.58@webmail.net,Canada,2025-06-09
59,Henry,Gupta,henry.gupta.59@company.org,India,2025-07-22
60,Aarav,Reddy,aarav.reddy.60@mail.com,Brazil,2023-09-24
61,Amelia,Garcia,amelia.garcia.61@webmail.net,Australia,2022-04-02
62,Aanya,Johnson,aanya.johnson.62@webmail.net,USA,2023-02-16
63,Mia,Das,mia.das.63@company.org,Spain,2024-10-25
64,Amelia,Khan,amelia.khan.64@inbox.com,Australia,2022-12-05
65,Vihaan,Martinez,vihaan.martinez.65@company.org,Philippines,2022-04-05
66,Liam,Patel,liam.patel.66@company.org,India,2024-01-11
67,Harper,Bose,harper.bose.67@mail.com,Sweden,2022-03-30
68,Harper,Reddy,harper.reddy.68@example.com,France,2024-07-13
69,Arjun,Park,arjun.park.69@webmail.net,Brazil,2022-07-06
